id,placename,address,starthour,endhour,longtitude,latitude,hoopcount,courtkind
1,めじろ台東公園,東京都八王子市山田町１８８９−６,0,24,"139.314865857846,","35.643550894171895, ",1,dirt
2,城山手もみじ公園,〒193-0825 東京都八王子市城山手２丁目１４−１１,0,24,"139.282418022814,","35.652943547651674,",1,dirt
3,小野田中央公園,〒192-0153 東京都八王子市西寺方町４００−１,0,24,"139.265577595829,","35.676386047970475,",1,dirt
5,FUNスポーツクラブ,〒192-0352 東京都八王子市大塚２２０,11,22.5,"139.417934524663,","35.64133123168292,",2,concrete
6,富士森体育館,〒193-0931 東京都八王子市台町２丁目３−７,9,21.5,"139.32273152761,","35.6503544804829,",2,in the room
7,八王子甲の原体育館,〒192-0015 東京都八王子市中野町２７２６−８ 八王子市甲の原体育館,9,21.5,"139.318208922816,","35.68146867078791,",2,in the room
8,エスフォルタアリーナ八王子,〒193-0941 東京都八王子市狭間町１４５３−１,8.5,22.5,"139.292976022265,","35.63999349304841, ",2,in the room
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
